"";"from_id";"from_name";"message";"created_time";"type";"link";"id";"story";"likes_count";"comments_count";"shares_count"
"1";"342905935841557";"Rui Costa";"Tem Ì†ºÌºù tem Ì†ΩÌ∫à e tem beleza! Lindo s√°bado por aqui! #Salvador";"2017-09-09T16:18:43+0000";"photo";"https://www.facebook.com/ruicostaoficial/photos/a.343034462495371.1073741828.342905935841557/1144877415644401/?type=3";"342905935841557_1144877415644401";NA;637;74;35
"2";"342905935841557";"Rui Costa";"Sou mesmo e com muito orgulho! #Liberdade #correriaÌ†ºÌøÉÌ†ºÌøø#feriad√£odetrabalho";"2017-09-09T00:01:00+0000";"video";"https://www.facebook.com/ruicostaoficial/videos/1144491902349619/";"342905935841557_1144491902349619";NA;787;125;136
"3";"342905935841557";"Rui Costa";"Fecho o dia com a satisfa√ß√£o de ter cumprido bem o trabalho de hoje para #BeloCampo e regi√£o. 
Ì†ΩÌ∫ú tratores de emendas parlamentares
Ì†ºÌΩàÌ†ºÌΩÖ conv√™nios do #BahiaProdutiva
Ì†ΩÌ≥ÑEntrega de quase 300 cadastros ambiental rural e mais....";"2017-09-08T21:00:04+0000";"photo";"https://www.facebook.com/ruicostaoficial/photos/a.397363193729164.1073741859.342905935841557/1144438505688292/?type=3";"342905935841557_1144438939021582";"Rui Costa added 12 new photos.";752;86;105
"4";"342905935841557";"Rui Costa";NA;"2017-09-08T17:30:24+0000";"video";"https://www.facebook.com/ruicostaoficial/videos/1144351359030340/";"342905935841557_1144351359030340";"Rui Costa added a cover video.";93;29;67
"5";"342905935841557";"Rui Costa";"J√° em #BeloCampo reunido com 29 prefeitos da regi√£o. Juntos, a gente pode fazer mais! #correria Ì†ºÌøÉÌ†ºÌøø";"2017-09-08T16:23:07+0000";"photo";"https://www.facebook.com/ruicostaoficial/photos/a.397363193729164.1073741859.342905935841557/1144336665698476/?type=3";"342905935841557_1144336839031792";"Rui Costa added 5 new photos.";655;64;121
"6";"342905935841557";"Rui Costa";"A partir de segunda-feira, mais quatro esta√ß√µes de #metr√¥ entram em opera√ß√£o! Vim fazer uma vistoria aqui no novo terminal de √¥nibus de Mussurunga e aproveito para anunciar a novidade. #correriaÌ†ºÌøÉÌ†ºÌøø";"2017-09-08T12:49:34+0000";"video";"https://www.facebook.com/ruicostaoficial/videos/1144240039041472/";"342905935841557_1144240262374783";"Rui Costa added 3 photos and a video.";3259;491;2626
"7";"342905935841557";"Rui Costa";"""Eu conto as horas pra poder te ver
Mas o rel√≥gio t√° de mal comigo""
Viagem longa e saudades maior ainda... #tbt";"2017-09-07T14:40:01+0000";"photo";"https://www.facebook.com/ruicostaoficial/photos/a.343034462495371.1073741828.342905935841557/1143217075810435/?type=3";"342905935841557_1143217075810435";NA;1093;83;40
"8";"342905935841557";"Rui Costa";"Mais do que um desfile c√≠vico, a data #7deSetembro est√° marcada no calend√°rio do Brasil para que a gente nunca se esque√ßa dos ideais que fizeram de n√≥s uma na√ß√£o livre e independente. Que a coragem, t√£o enraizada e viva no povo brasileiro, nos fa√ßa seguir em frente, nos una enquanto na√ß√£o e nos desperte para novas transforma√ß√µes!";"2017-09-07T10:26:05+0000";"photo";"https://www.facebook.com/ruicostaoficial/photos/a.343034462495371.1073741828.342905935841557/1143640149101461/?type=3";"342905935841557_1143640149101461";NA;840;95;93
"9";"342905935841557";"Rui Costa";"√â a vit√≥ria da #educa√ß√£o no Estado da Bahia! O direito dos estudantes da rede p√∫blica reconhecido depois de uma verdadeira peleja jur√≠dica! #EducarParaTransformar";"2017-09-06T23:03:15+0000";"link";"http://atarde.uol.com.br/bahia/noticias/1892647-estado-ganha-acao-no-supremo-que-amplia-recursos-para-educacao";"342905935841557_1143435265788616";NA;1590;119;400
"10";"342905935841557";"Rui Costa";"Nossa #Miss√£oInternacional rendeu! Voltando pra #Bahia cheio de novidades. Entre os acordos e memorandos com chineses e ucranianos avan√ßamos muito nos projetos de obras importantes para a Bahia: Ì†ΩÌ±áÌ†ºÌøº
‚úÖ F√°brica de insulina no Centro Industrial de Aratu
‚úÖ Porto Sul em Ilh√©us
‚úÖ Ferrovia Oeste-Leste (Fiol) 
‚úÖ Ponte Salvador Itaparica";"2017-09-06T19:32:39+0000";"photo";"https://www.facebook.com/ruicostaoficial/photos/a.343034462495371.1073741828.342905935841557/1143371032461706/?type=3";"342905935841557_1143371032461706";NA;1961;186;483
